level_type,session,year,price,distance_from_close,lag,revisited
poc,2022-10-12,2022,14200.0,43.0,1,True
poc,2022-10-13,2022,14387.0,15.0,1,True
poc,2022-10-14,2022,14104.0,36.25,1,True
poc,2022-10-17,2022,14424.0,7.0,1,True
poc,2022-10-18,2022,14548.0,24.75,1,True
poc,2022-10-19,2022,14454.0,21.0,1,True
poc,2022-10-20,2022,14620.0,212.5,1,True
poc,2022-10-21,2022,14445.0,229.25,4,True
poc,2022-10-24,2022,14682.0,118.25,3,True
poc,2022-10-25,2022,14957.0,76.25,1,True
poc,2022-10-26,2022,14788.0,14.5,1,True
poc,2022-10-27,2022,14608.0,46.5,1,True
poc,2022-10-28,2022,14778.0,126.5,1,True
poc,2022-10-31,2022,14756.0,12.5,1,True
poc,2022-11-01,2022,14666.0,15.0,1,True
poc,2022-11-02,2022,14592.0,333.0,6,True
poc,2022-11-03,2022,14122.0,77.25,1,True
poc,2022-11-04,2022,14038.0,175.5,37,True
poc,2022-11-07,2022,14208.0,126.25,2,True
poc,2022-11-08,2022,14516.0,102.0,2,True
poc,2022-11-09,2022,14288.0,136.5,1,True
poc,2022-11-10,2022,14760.0,188.5,19,True
poc,2022-11-11,2022,15058.0,110.25,1,True
poc,2022-11-14,2022,15118.0,55.5,1,True
poc,2022-11-15,2022,15344.0,117.5,11,True
poc,2022-11-16,2022,15080.0,19.5,1,True
