session_date,net_pnl_dollars,equity_dollars
2025-06-18,0.0,385.0
2025-06-23,9.0,394.0
2025-06-24,1.0,395.0
2025-06-25,0.0,395.0
2025-06-26,6.0,401.0
2025-06-30,0.5,401.5
2025-07-01,8.5,410.0
2025-07-02,0.0,410.0
2025-07-07,3.0,413.0
2025-07-08,9.5,422.5
2025-07-09,0.0,422.5
2025-07-10,0.5,423.0
2025-07-14,-1.0,422.0
2025-07-15,0.0,422.0
2025-07-16,11.0,433.0
2025-07-17,0.0,433.0
2025-07-21,0.0,433.0
2025-07-22,0.0,433.0
2025-07-23,0.0,433.0
2025-07-24,0.0,433.0
2025-07-28,0.0,433.0
2025-07-29,0.0,433.0
2025-07-30,0.0,433.0
2025-07-31,0.0,433.0
2025-08-04,0.5,433.5
2025-08-05,1.0,434.5
2025-08-06,6.0,440.5
2025-08-07,0.0,440.5
2025-08-11,2.5,443.0
2025-08-12,0.0,443.0
2025-08-13,3.0,446.0
2025-08-14,-1.0,445.0
