Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
172,Entry short,2026-04-20 16:00,1h first touch + room,27038,1,54076,8,0.01,0,18,0.03,-4,-0.01,1034.5,0.10,0
173,Exit long,2026-04-21 09:30,P6 Long Exit,27076,1,54205,-53,-0.10,0,184.5,0.34,-53,-0.10,981.5,0.10,693
173,Entry long,2026-04-20 21:57,1h first touch + room,27102.5,1,54205,-53,-0.10,0,184.5,0.34,-53,-0.10,981.5,0.10,693
174,Exit short,2026-04-22 08:13,P6 Short Exit,27178.75,1,54239.5,-118,-0.22,0,117,0.22,-118,-0.22,863.5,0.09,635
174,Entry short,2026-04-21 21:38,1h first touch + room,27119.75,1,54239.5,-118,-0.22,0,117,0.22,-118,-0.22,863.5,0.09,635
175,Exit long,2026-04-22 15:54,P6 Long Exit,27373.5,1,54581.5,165.5,0.30,0,165.5,0.30,-30.5,-0.06,1029,0.10,52
175,Entry long,2026-04-22 15:02,1h first touch + room,27290.75,1,54581.5,165.5,0.30,0,165.5,0.30,-30.5,-0.06,1029,0.10,52
176,Exit long,2026-04-22 20:13,P6 Long Exit,27269.5,1,54625.5,-86.5,-0.16,0,16,0.03,-86.5,-0.16,942.5,0.09,2
176,Entry long,2026-04-22 20:11,1h first touch + room,27312.75,1,54625.5,-86.5,-0.16,0,16,0.03,-86.5,-0.16,942.5,0.09,2
177,Exit short,2026-04-23 07:47,P6 Short Exit,27307.75,1,54565.5,-50,-0.09,0,96,0.18,-50,-0.09,892.5,0.09,38
177,Entry short,2026-04-23 07:09,1h first touch + room,27282.75,1,54565.5,-50,-0.09,0,96,0.18,-50,-0.09,892.5,0.09,38
178,Exit short,2026-04-23 09:48,P6 Short Exit,27393.75,1,54765,-22.5,-0.04,0,15,0.03,-22.5,-0.04,870,0.09,0
178,Entry short,2026-04-23 09:48,1h first touch + room,27382.5,1,54765,-22.5,-0.04,0,15,0.03,-22.5,-0.04,870,0.09,0
179,Exit long,2026-04-23 13:41,P6 Long Exit,27099.5,1,54235.5,-36.5,-0.07,0,1.5,0.00,-36.5,-0.07,833.5,0.08,0
179,Entry long,2026-04-23 13:41,1h first touch + room,27117.75,1,54235.5,-36.5,-0.07,0,1.5,0.00,-36.5,-0.07,833.5,0.08,0
180,Exit long,2026-04-24 05:22,P6 Long Exit,27357.75,1,54754.5,-39,-0.07,0,139,0.25,-39,-0.07,794.5,0.08,78
180,Entry long,2026-04-24 04:04,1h first touch + room,27377.25,1,54754.5,-39,-0.07,0,139,0.25,-39,-0.07,794.5,0.08,78
